"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"155","10","","Pittsburgh (PIT)","","DST2","8","80","228","146.1","13.4","117.0","-38.0"
"156","10","","Philip Rivers","IND","QB24","7","84","284","165.9","25.9","149.0","-7.0"
"157","10","","Baltimore (BAL)","","DST3","8","86","174","150.8","9.9","127.0","-30.0"
"158","10","","DeSean Jackson","PHI","WR59","9","41","294","153.7","38.6","168.0","+10.0"
"159","10","","Drew Lock","DEN","QB25","8","95","275","167.0","26.0","147.0","-12.0"
"160","10","","Justin Jackson","LAC","RB52","10","78","280","161.0","30.6","169.0","+9.0"
"161","10","","Sammy Watkins","KC","WR60","10","71","217","159.1","24.3","153.0","-8.0"
"162","10","","Allen Lazard","GB","WR61","5","85","310","162.9","40.1","187.0","+25.0"
"163","10","","Damien Harris","NE","RB53","6","63","280","166.0","44.6","199.0","+36.0"
"164","10","","Teddy Bridgewater","CAR","QB26","13","100","254","172.2","26.1","164.0","0.0"
"165","10","","Buffalo (BUF)","","DST4","11","109","211","161.0","11.8","142.0","-23.0"
"166","10","","Brandon Aiyuk","SF","WR62","11","63","300","161.6","42.4","170.0","+4.0"
"167","10","","Nyheim Hines","IND","RB54","7","112","262","174.7","24.5","180.0","+13.0"
"168","10","","New England (NE)","","DST5","6","92","234","163.5","17.0","159.0","-9.0"
"169","10","","A.J. Dillon","GB","RB55","5","51","365","174.0","47.3","166.0","-3.0"
"170","10","","Harrison Butker","KC","K1","10","105","183","170.7","10.9","140.0","-30.0"
"171","10","","Sam Darnold","NYJ","QB27","11","75","309","185.8","34.5","161.0","-10.0"
"172","10","","Ian Thomas","CAR","TE22","13","121","258","176.5","30.0","174.0","+2.0"
"173","10","","Justin Tucker","BAL","K2","8","99","184","173.0","10.9","141.0","-32.0"
"174","10","","Parris Campbell","IND","WR63","7","101","280","181.4","29.1","198.0","+24.0"
"175","10","","Carlos Hyde","SEA","RB56","6","84","344","181.7","41.9","204.0","+29.0"
"176","10","","Chicago (CHI)","","DST6","11","126","248","171.6","21.6","188.0","+12.0"
"177","10","","Michael Pittman Jr.","IND","WR64","7","64","342","172.0","40.2","148.0","-29.0"
"178","10","","New Orleans (NO)","","DST7","6","95","212","180.2","19.5","211.0","+33.0"
"179","10","","Derek Carr","LV","QB28","6","104","319","194.6","39.6","207.0","+28.0"
"180","10","","Jamaal Williams","GB","RB57","5","96","318","183.6","35.5","179.0","-1.0"
"181","10","","Alshon Jeffery","PHI","WR65","9","72","285","179.6","44.0","152.0","-29.0"
"182","10","","Wil Lutz","NO","K3","6","106","251","182.8","12.5","158.0","-24.0"
"183","11","","Kansas City (KC)","","DST8","10","129","292","186.2","25.7","209.0","+26.0"
"184","11","","James Washington","PIT","WR66","8","113","295","187.0","28.2","192.0","+8.0"
"185","11","","Greg Zuerlein","DAL","K4","10","111","204","187.6","11.0","175.0","-10.0"
"186","11","","Minnesota (MIN)","","DST9","7","118","278","191.8","24.5","195.0","+9.0"
"187","11","","Corey Davis","TEN","WR67","7","87","283","193.0","26.0","193.0","+6.0"
"188","11","","Irv Smith Jr.","MIN","TE23","7","142","273","195.9","34.8","186.0","-2.0"
